"Collecteur","N°Famille","Famille","N°Genre","N°Espèce","Genre","Espèce","date récolte","Auteur","N° scan","Subsp.","Nb spécimens","Partie conservée","Intégrité","Etat","Dpt","Nom Dpt","Commune","Lieu dit","Lieu récolte","Habitat","remarques","remarques perso","Nom latin"
"Diard",55,"Geraniaceae",1,457,"Geranium","columbinum","01/06/1868","L.","0457_DIARD",,1,"plante entière sans racine","complet","B",44,"Loire-Atlantique","La-Chapelle-Heulin","Les Cléons","Les Cléons",,,,"Geranium columbinum L."
"Figureau",55,"Geraniaceae",1,457,"Geranium","columbinum",08/06/1978,"L.","0457_FIGUREAU",,7,"plante entière + inflorescence + infrutescence","complet","TB",49,"Maine-et-Loire","Montjeau-dur-Loire","Chateaupanne","Chateaupanne en Montjean","Champs rocailleus calcaires",,"couleurs très bien préservées","Geranium columbinum L."
"Diard",55,"Geraniaceae",1,458,"Geranium","dissectum","08/05/1870","L.","0458_DIARD",,1,"plante entière sans inflorescence","complet","B",44,"Loire-Atlantique","Mauves-sur-Loire",,"Mauves",,,,"Geranium dissectum L."
"Figureau",55,"Geraniaceae",1,459,"Geranium","versicolor",26/05/1981,"L.","0459_FIGUREAU",,3,"tige + inflorescence","complet","TB",49,"Maine et Loire","St-Mathurin-sur-Loire",,"St Mathurin (49)","Bord ombragé des routes",,"couleurs excellentes !","Geranium versicolor L."
"Diard",55,"Geraniaceae",2,460,"Erodium","cicutarium","23/04/1865","(L.) L'Hér.","0460_DIARD",,1,"plante entière","complet","B",44,"Loire-Atlantique","Nantes","Cité des Dervallières","Les Dervallières",,,,"Erodium cicutarium (L.) L'Hér."
"Figureau",55,"Caryophyllaceae",2,"461bis","Erodium","bipinnatum",16/05/1979,"Rouy","0461_bis_FIGUREAU",,4,"plante entière","complet","B",44,"Loire-Atlantique","La Turballe",,"La Turballe (44)","Dunes fixées sables maritimes",,,"Erodium bipinnatum Rouy"
"Figureau",55,"Caryophyllaceae",2,461,"Erodium","bipinnatum",16/05/1979,"Rouy","0461_FIGUREAU",,5,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","La Turballe",,,"Dunes fixées, sables maritimes",,,"Erodium bipinnatum Rouy"
"Diard",55,"Geraniaceae",2,462,"Erodium","moschatum","24/06/1866","(L.) L'Hér.","0462_DIARD",,2,"plante entière sans racine","complet","B",44,"Loire-Atlantique","Nantes","Chantenay","Chantenay",,,,"Erodium moschatum (L.) L'Hér."
"Figureau",55,"Caryophyllaceae",2,462,"Erodium","moschatum",30/04/1980,"(L.) L'Hér.","0462_FIGUREAU",,4,"plante entière sans inflorescence","complet","B",85,"Vendée","Ile d'Yeu","Ker Châlon","Ker Chalon, Ile d'Yeu","Sommet des dunes",,,"Erodium moschatum (L.) L'Hér."
"Diard",55,"Geraniaceae",2,464,"Erodium","malachoides","01/06/1874","(L.) Willd.","0464_DIARD",,4,"plante entière + infrutescence","complet","B",85,"Vendée","(Ile de Noirmoutier)",,"Noirmoutier",,,"l'un des spécimens est en 2 parties","Erodium malachoides (L.) Willd."
"Diard",55,"Geraniaceae",2,465,"Erodium","maritimum","02/06/1874","(L.) L'Hér.","0465_DIARD",,4,"plante entière + infrutescence","complet","B",85,"Vendée","Noirmoutier en l'Ile (Ile de Noirmoutier)","Ile du Pilier","Ile du Pilier _ L'Herbaudière _ Noirmoutier",,,,"Erodium maritimum (L.) L'Hér."
"Diard",56,"Zygophyllaceae",1,466,"Tribulus","terrestris","10/08/1868","L.","0466_(1)_DIARD",,1,"tige + inflorescence","complet","TB",44,"Loire-Atlantique","Nantes","Jardin des Plantes","Jardin des Plantes",,,,"Tribulus terrestris L."
"Diard",56,"Zygophyllaceae",1,466,"Tribulus","terrestris","16/07/1871","L.","0466_(2)_DIARD",,5,"plante entière + inflorescence","incomplet","B",44,"Loire-Atlantique","Le Pouliguen",,"Le Pouliguen, au moulin p. le cimetière",,,"le cartel est en commun avec la part 0466_(3)_DIARD ; un fragment est séparé de l'un des spécimens","Tribulus terrestris L."
"Diard",56,"Zygophyllaceae",1,466,"Tribulus","terrestris","17/09/1871","L.","0466_(3)_DIARD",,2,"plante entière + infrutescence","incomplet","B",45,"Loire-Atlantique","Le Pouliguen",,"Le Pouliguen, au moulin p. le cimetière",,,"le cartel est en commun avec la part 0466_(2)_DIARD","Tribulus terrestris L."
"Diard",58,"Aceraceae",1,472,"Acer","campestre","02/05/1869","L.","0472_DIARD",,3,"rameau + inflorescence","complet","TB",44,"Loire-Atlantique","Ancenis",,"Environs d'Ancenis",,,"utilisation muséographique : Clisson 19/04/1999","Acer campestre L."
"?",58,"Aceraceae",1,473,"Acer","pseudoplatanus","s.d.","L. ","0473_XX_1 ; 0473_XX_2 ; 0473_XX_3",,7,"feuille","complet","TB",0,"s.l.","s.l.",,,,,"PAS DE CARTEL ; identification: F. A. MADDI, 16/12/2009 ; il s'agit de feuilles présentant une atteinte fongique marquée ; les spécimens sont distribués sur 3 feuillets",
"?Diard",58,"Caryophyllaceae",,,,,"s.d.",,,,,"feuilles  ","complet","Ma",,,,,,,,"feuilles malades ?",
"Diard",62,"Aquifoliaceae",1,479,"Ilex","aquifolium","05/05/1872","L.","0479_(1)_DIARD",,1,"rameau + inflorescence","complet","B",44,"Loire-Atlantique","Clisson",,"Environs de Clisson",,,,"Ilex aquifolium L."
"Diard",62,"Aquifoliaceae",1,479,"Ilex","aquifolium","s.d.","L.","0479_(2)_DIARD",,1,"rameau","complet","TB",,,,,,,,"PAS DE CARTEL ; identification: F. A. MADDI, 16/12/2009","Ilex aquifolium L."
"Diard",63,"Celastraceae",1,480,"Evonymus","europaeus","06/05/1866","L.","0480_DIARD",,1,"rameau + inflorescence","complet","B",44,"Loire-Atlantique","Ancenis",,"Ancenis",,,,"Evonymus europaeus L."
"?Diard",63,"Celastraceae",1,,"Evonymus","repens","s.d.",,"XX_0027_DIARD",,9,"rameau + feuille","complet","B",,,,,,,"en sachet",,"Evonymus repens"
"?Diard",63,"Celastraceae",1,,"Evonymus","radicans","s.d.",,"XX_0028_DIARD_1 ; XX_0028_DIARD_2","var. Carrieri",2,"rameau","complet","B",,,,,,,"Forme verte, forme panachée","quelques fragments mis sous pli","Evonymus radicans var. 'Carrieri'"
"Diard",64,"Rhamnaceae",1,481,"Rhamnus","cathartica","25/04/1869","L.","0481_DIARD",,2,"rameau + inflorescence","complet","B",44,"Loire-Atlantique","La-Chapelle-Heulin","Les Cléons","Les Cléons",,"Rhamnus catharticus",,"Rhamnus cathartica L."
"Diard",64,"Rhamnaceae",1,482,"Rhamnus","frangula","06/08/1865","L.","0482_DIARD",,3,"rameau + infrutescence","complet","B",44,"Loire-Atlantique","La Chapelle-sur-Erdre",,"Marais de la Verrière",,,,"Rhamnus frangula L."
"Diard",64,"Rhamnaceae",1,483,"Rhamnus","alaternus","02/06/1874","L.","0483_DIARD",,3,"rameau + infrutescence","complet","B",85,"Vendée","Noirmoutier en l'Ile (Ile de Noirmoutier)","Bois de la Blanche","Bois de la Blanche à Noirmoutier",,,,"Rhamnus alaternusL."
"Diard",65,"Buxaceae",1,484,"Buxus","sempervirens","08/04/1866","L.","0484_DIARD",,2,"rameau","complet","TB",44,"Loire-Atlantique","Mauves-sur-Loire",,"Côteaux de Mauves",,,,"Buxus sempervirens L."
"Diard",66,"Euphorbiaceae",1,485,"Mercurialis","annua","03/08/1868","L.","0485_DIARD",,2,"tige + inflorescence + infrutescence","complet","TB",44,"Loire-Atlantique",,,"Les Herbières",,,,"Mercurialis annua L."
"Diard",66,"Euphorbiaceae",1,486,"Mercurialis","perennis","22/04/1866","L.","0486_DIARD",,3,"tige + feuilles + inflorescence fem.","complet","TB",44,"Loire-Atlantique","Nantes","Cité des Dervallières","Les Dervallières",,,"couleurs excellentes !","Mercurialis perennis L."
"Diard",66,"Euphorbiaceae",2,487,"Euphorbia","maculata","09/1871","L.","0487_DIARD",,3,"plante entière + infrutescence","incomplet","M",44,"Loire-Atlantique","Nantes",,"Nantes",,,"3 fragments sont séparés des spécimens","Euphorbia maculata L."
"Diard",66,"Euphorbiaceae",2,488,"Euphorbia","peplis","26/06/1871","L.","0488_(1)_DIARD",,13,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","Pornic",,"Entre Pornic et la  Plaine ",,,,"Euphorbia peplis L."
"Diard",66,"Euphorbiaceae",2,488,"Euphorbia","peplis","17/09/1871","L.","0488_(2)_DIARD",,1,"plante entière + infrutescence","complet","M",44,"Loire-Atlantique","La Turballe",," La Turballe",,,"le spécimen est fragmenté en 3 parties","Euphorbia peplis L."
"Figureau",66,"Euphorbiaceae",2,488,"Euphorbia","peplis",20/09/1976,"L.","0488_FIGUREAU",,2,"plante entière + inflorescence + infrutescence","complet","TB",85,"Vendée","Les Sables-d'Olonne","L'Aubraie","L'Aubraie en Forêt d'Olonne","Sables nus à la limite des vives eaux",,"couleurs très bien préservées","Euphorbia peplis L."
"Diard",66,"Euphorbiaceae",2,490,"Euphorbia","lathyris","08/04/1866","L.","0490_(1)_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Mauves-sur-Loire",,"Côteaux de Mauves",,,"l'un des spécimens est en 2 parties","Euphorbia lathyris L."
"Diard",66,"Euphorbiaceae",2,490,"Euphorbia","lathyris","26/05/1872","L.","0490_(2)_DIARD",,1,"plante entière + inflorescence","incomplet","B",44,"Loire-Atlantique","Le Cellier",,"Le Cellier",,,,"Euphorbia lathyris L."
"Diard",66,"Euphorbiaceae",2,491,"Euphorbia","peplus","03/08/1868","L.","0491_DIARD",,1,"plante entière","complet","TB",85,"Vendée","Tiffauges","St Lazare","St Lazare",,,,"Euphorbia peplus L."
"Diard",66,"Euphorbiaceae",2,492,"Euphorbia","exigua","07/06/1868","L.","0492_DIARD",,4,"plante entière","complet","B",44,"Loire-Atlantique","Machecoul",,"Machecoul",,,"couleurs excellentes !","Euphorbia exigua L."
"Diard",66,"Euphorbiaceae",2,493,"Euphorbia","portlandica","28/06/1868","L.","0493_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Le Pouliguen",,"Le Pouliguen",,,"l'un des spécimens est en 3 parties","Euphorbia portlandica L."
"Figureau",66,"Euphorbiaceae",2,493,"Euphorbia","portlandica",16/05/1979,"L.","0493_FIGUREAU",,3,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","La Turballe",,"La Turballe VVF (44)","Sables maritimes",,"couleurs très bien préservées","Euphorbia portlandica L."
"Diard",66,"Euphorbiaceae",2,494,"Euphorbia","paralias","28/06/1868","L.","0494_DIARD",,4,"tige + inflorescence","complet","B",44,"Loire-Atlantique","Le Pouliguen",,"Le Pouliguen",,,,"Euphorbia paralias L."
"Diard",66,"Euphorbiaceae",2,495,"Euphorbia","esula","06/05/1866","L.","0495_DIARD",,2,"tige + inflorescence","complet","B",49,"Maine-et-Loire","Liré",,"près Lyré",,,,"Euphorbia esula L."
"Diard",66,"Euphorbiaceae",2,496,"Euphorbia","cyparissias","06/05/1866","L.","0496_DIARD",,3,"plante entière + inflorescence","complet","TB",49,"Maine-et-Loire","Liré",,"près Lyré",,,,"Euphorbia cyparissias L."
"Diard",66,"Euphorbiaceae",2,497,"Euphorbia","amygdaloides","15/04/1866","L.","0497_DIARD",,1,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","Nantes","Pont du Cens","Pont du Cens",,,"un fragment est séparé du spécimen","Euphorbia amygdaloides L."
"Diard",66,"Euphorbiaceae",2,498,"Euphorbia","helioscopia","03/08/1868","L.","0498_DIARD",,2,"plante entière + infrutescence","complet","B",85,"Vendée","Tiffauges","St Lazare","St Lazare",,,,"Euphorbia helioscopia L."
"Diard",66,"Euphorbiaceae",2,499,"Euphorbia","platyphylla","08/05/1870","L.","0499_(1)_DIARD",,2,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","Mauves-sur-Loire",,"Côteaux de Mauves",,"Euphorbia platyphyllos",,"Euphorbia platyphylla L."
"Diard",66,"Euphorbiaceae",2,499,"Euphorbia","platyphylla","26/05/1872","L.","0499_(2)_DIARD",,1,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","Le Cellier",,,,"Euphorbia platyphyllos L.","1 fragment est séparé du spécimen",
"Diard",66,"Euphorbiaceae",2,500,"Euphorbia","serrulata","23/05/1869","Thuill.","0500_DIARD",,1,"tige + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Le Loroux-Bottereau",,"Environs de Loroux",,"Euphorbia stricta","1 fragment est séparé du spécimen","Euphorbia serrulata Thuill."
"Diard",66,"Euphorbiaceae",2,502,"Euphorbia","villosa","31/05/1879","L.","0502_DIARD",,2,"tige + inflorescence","complet","M",44,"Loire-Atlantique","La-Chapelle-Heulin","Les Cléons","Les Cléons",,"Euphorbia pilosa",,"Euphorbia villosa L."
"Figureau",66,"Euphorbiaceae",2,503,"Euphorbia","hyberna",15/05/1974,"L.","0503_FIGUREAU",,2,"plante entière + infrutescence","complet","B",85,"Vendée","Fontenay-le-Comte","Mervent","Forêt de Mervent","Fossés, haies",,"1 sachet de graines accompagne les spécimens","Euphorbia hyberna L."
"Diard",66,"Euphorbiaceae",2,504,"Euphorbia","seguierana","07/06/1868","Necker","0504_DIARD",,3,"plante entière + infrutescence","complet","B",44,"Loire-Atlantique","Machecoul",,"Machecoul",,"Euphorbia gerardiana",,"Euphorbia seguierana Necker"
"Diard",66,"Euphorbiaceae",2,505,"Euphorbia","dulcis","11/04/1869","L.","0505_(1)_DIARD",,4,"plante entière + tige + inflorescence","complet","B",44,"Loire-Atlantique","Nantes","Pont du Cens","Vallée du Cens",,,"l'un des spécimens est en 3 parties","Euphorbia dulcis L."
"Diard",66,"Euphorbiaceae",2,505,"Euphorbia","dulcis","19/05/1872","L.","0505_(2)_DIARD",,1,"plante entière sans infrutescence","complet","B",44,"Loire Atlantique","Vallet","Le Pallet","Environs du Pallet",,,,"Euphorbia dulcis L."
"Figureau",66,"Euphorbiaceae",2,505,"Euphorbia","dulcis",15/05/1974,"L.","0505_FIGUREAU",,2,"plante entière + inflorescence + infrutescence","complet","TB",85,"Vendée","Fontenay-le-Comte","Mervent","Forêt de Mervent (85)","Sous-bois",,"couleurs excellentes !","Euphorbia dulcis L."
"?Diard",66,"Euphorbiaceae",2,505,"Euphorbia","dulcis",16/04/1941,"L.","0505_XX",,1,"tige + inflorescence","complet","B",44,"Loire-Atlantique","St-Herblain","La Chézine","La Chézine",,,,"Euphorbia dulcis L."
"Diard",66,"Euphorbiaceae",2,,"Euphorbia","serrata","08/1879","L.","XX_0029_DIARD",,1,"partie aérienne + inflorescence + infrutescence","incomplet","M",17,"Charente Maritime","La Rochelle",,"La Rochelle",,"Mr Manpon ","le spécimen est en 5 parties","Euphorbia serrata L."
"Diard",67,"Callitrichaceae",1,506,"Callitriche","truncata","11/08/1872","Guss. ","0506_DIARD","subsp. occidentalis Rouy",">2","plante entière + infrutescence","complet","TB",44,"Loire Atlantique","La Chapelle-Basse-Mer","St Simon","St Simon sur Loire",,"Callitriche truncata","couleurs très bien préservées","Callitriche truncata Guss. subsp. occidentalis Rouy"
"Diard",67,"Callitrichaceae",1,507,"Callitriche","stagnalis","23/08/1868","Scop.","0507_DIARD",,5,"tige","complet","B",44,"Loire-Atlantique",,,"La Chevalerie",,,"couleurs très bien préservées","Callitriche stagnalis Scop."
"Diard",67,"Callitrichaceae",1,508,"Callitriche","obtusangula","10/05/1874","Le Gall","0508_DIARD",,">1","plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","St Brevin",,"St Brevin",,,"les spécimens sont entremêlés, et forment un amas","Callitriche obtusangula Le Gall"
"Diard",68,"Crassulaceae",1,513,"Crassula","tillæa","20/05/1872","Lester-Garl.","0513_(1)_DIARD",,10,"plante entière + inflorescence",,"B",44,"Loire Atlantique","Batz sur Mer",,"Environs de Batz",,"Tillea muscosa L.",,"Crassula tillæa Lester-Garl."
"Diard",68,"Crassulaceae",1,513,"Crassula","tillæa","26/05/1872","Lester-Garl.","0513_(2)_DIARD",,"≥25","plante entière + tige + inflorescence","complet","M",44,"Loire Atlantique","Mauves-sur-Loire","Coteaux de Mauves","Coteaux",,"Tillea muscosa L.","trouvé, lors de la numérisation 2010, mêlé aux parts de l'herbier ROUSSEAU","Crassula tillæa Lester-Garl."
"Diard",68,"Crassulaceae",1,514,"Crassula","vaillantii","29/05/1871","(Willd.) Roth","0514_DIARD",,45,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","La Roche-Blanche","Entre le nord de la Grainerie et la Planchette","Entre le N. de la Gainerie et la Planchette p. Ancenis",,"Bulliarda vaillantii DC.",,"Crassula vaillantii (Willd.) Roth"
"Diard",68,"Crassulaceae",2,518,"Sedum","reflexum","16/07/1865","L.","0518_DIARD",,6,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Bouguenais",,"Bouguenais",,,"2 spécimens sont fragmentés","Sedum reflexum L."
"Diard",68,"Crassulaceae",2,"518 quat","Sedum","reflexum","23/07/1871","L.","0518_quat_DIARD"," subsp. rupestre auct.",1,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","Chateauthébaud",,"Coteaux du Château Thébaud",,"Sedum rupestre L.",,"Sedum reflexum L. subsp. Rupestre auct."
"Diard",68,"Crassulaceae",2,520,"Sedum","acre","07/05/1865","L.","0520_DIARD",,">3","plante entière sans infrutescence","complet","B",44,"Loire Atlantique","Nantes",,"Bords de la Loire en face de la Gare",,,"les spécimens sont entremêlés, et forment 3 amas","Sedum acre L."
"Diard",68,"Crassulaceae",2,522,"Sedum","album","26/06/1870","L.","0520_DIARD",,1,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique",,,"Les Herbières",,,"4 fragments sont séparés du spécimen","Sedum album L."
"Diard",68,"Crassulaceae",2,521,"Sedum","sexangulare","29/05/1871","L.","0521_DIARD",,12,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Ancenis",,"Environs d'Ancenis",,,,"Sedum sexangulare L."
"Diard",68,"Crassulaceae",2,"522 ter","Sedum","album","30/06/1871","L.","0522_ter_DIARD"," subsp. micranthum Bast.",4,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","Ancenis",,"Environs d'Ancenis",,"Sedum micranthum Bast.",,"Sedum album L. subsp. Micranthum Bast."
"Diard",68,"Crassulaceae",2,523,"Sedum","anglicum","28/05/1865","Hudson","0523_DIARD",,9,"plante entière + inflorescence","débris","M",44,"Loire-Atlantique","Couëron",,"Couëron",,,,"Sedum anglicum Hudson"
"Diard",68,"Crassulaceae",2,527,"Sedum","cepæa","16/07/1865","L.","0527_(1)_DIARD",,1,"tige + feuilles + inflorescence","complet","TB",44,"Loire-Atlantique","Bouguenais",,"Bouguenais",,"Sedum cepea","couleurs excellentes ! ; utilisation muséographique:  Atout Sud, 27/03/08","Sedum cepæa L."
"Diard",68,"Crassulaceae",2,527,"Sedum","cepæa","09/07/1871","L.","0527_(2)_DIARD",,1,"tige + feuilles + inflorescence","complet","TB",44,"Loire-Atlantique","Oudon",,"Oudon",,"Sedum cepea","utilisation muséographique:  Atout Sud, 27/03/08","Sedum cepæa L."
"Diard",68,"Crassulaceae",2,528,"Sedum","rubens","14/06/1870","L.","0528_DIARD",,3,"plante entière + infrutescence","complet","B",44,"Loire-Atlantique",,,"Les Herbières",,,,"Sedum rubens L."
"Diard",68,"Crassulaceae",2,530,"Sedum","andegavense","29/05/1871","(DC.) Desv.","0530_DIARD",,27,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","La Roche-Blanche","Pied Bercy","Butte de Piedbercy près la Censerie",,,,"Sedum andegavense (DC.) Desv."
"Diard",68,"Crassulaceae",2,,"Sedum","pentandrum","29/05/1871","Bor.","XX_0030_DIARD",,27,"plante entière sans infrutescence","complet","B",44,"Loire-Atlantique","St Herblon","La Série","La Série près Ancenis",,,"non trouvée dans la flore","Sedum pentandrum Bor."
"Diard",68,"Crassulaceae",2,,"Sedum","fabaria","12/07/1865",,"XX_0031_DIARD",,2,"tige + feuilles + inflorescence","complet","M",44,"Loire Atlantique","Bouguenais",,"Bouguenais",,,"non trouvée dans la flore ; l'un des spécimens est en 4 parties","Sedum fabaria"
"Diard",68,"Crassulaceae",3,532,"Umbilicus","rupestris","07/05/1865","(Salisb.) Dandy","0532_DIARD",,3,"plante entière + inflorescence","complet","TB",44,"Loire-Atlantique","Nantes","La Morinière","La Morinière",,"Umbilicus pendulinus",,"Umbilicus rupestris (Salisb.) Dandy"
"Diard",69,"Saxifragaceae",1,534,"Saxifraga","tridactylites","28/04/1867","L.","0534_DIARD",,3,"plante entière","incomplet","M",44,"Loire-Atlantique","Nantes","Cité des Dervallières","Les Dervallières",,,,"Saxifraga tridactylites L."
"Diard",69,"Saxifragaceae",1,535,"Saxifraga","granulata","02/06/1873","L.","0535_(1)_DIARD",,8,"plante entière + inflorescence","complet","B",75,"Ile de France","Paris","Bois de Boulogne","Bois de Boulogne",,,,"Saxifraga granulata L."
"Diard",69,"Saxifragaceae",1,535,"Saxifraga","granulata","20/05/1874","L.","0535_(2)_DIARD",,1,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","St-Fiacre-sur-Maine","Le Coin","Le Coin en St Fiacre",,,"le spécimen est en 2 parties","Saxifraga granulata L."
"Diard",69,"Saxifragaceae",1,535,"Saxifraga","granulata","25/05/1874","L.","0535_(3)_DIARD",,1,"plante entière + inflorescence","complet","B",44,"Loire Atlantique","Vallet","Le Pallet","Environs du Pallet",,,,"Saxifraga granulata L."
"Figureau",69,"Saxifragaceae",1,535,"Saxifraga","granulata","18/04/1876","L.","0535_FIGUREAU",,6,"plante entière sans infrutescence","complet","B",49,"Maine et Loire","Rochefort-sur-Loire","Beaulieu sur Layon","Beaulieu sur Layon","Bord des routes",,,"Saxifraga granulata L."
"Diard",69,"Saxifragaceae",2,536,"Chrysosplenium","oppositifolium","13/04/1868","L.","0536_DIARD",,9,"plante entière sans infrutescence","complet","TB",44,"Loire-Atlantique","Le Cellier",,"Près le Cellier",,,,"Chrysosplenium oppositifolium L."
"Diard",71,"Grossulariaceae",1,539,"Ribes","rubrum","12/05/1872","L.","0539_DIARD",,5,"rameau + infrutescence","complet","B",44,"Loire-Atlantique","La-Chapelle-Basse-Mer","La-Pierre-Percée","Pierre Percée",,,,"Ribes rubrum L."
"Diard",72,"Rosaceae",2,542,"Filipendula","ulmaria","16/07/1865","(L.) Maxim.","0542_DIARD",,1,"plante entière sans racine","complet","B",44,"Loire-Atlantique","Rezé","Trentemoult","Trentemoult",,"Spirea ulmaria","Utilisation muséographique:  Atout Sud, 27/03/08","Filipendula ulmaria (L.) Maxim."
"Diard",72,"Rosaceae",2,543,"Filipendula","vulgaris","29/05/1871","Mœnch","0543_DIARD",,3,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique",,"La Grainerie","Village de la Gainerie p. Ancenis",,"Spirea filipendula",,"Filipendula vulgaris Mœnch"
"Diard",72,"Rosaceae",3,544,"Sanguisorba","officinalis","15/09/1872","L.","0544_DIARD",,1,"plante entière","complet","B",44,"Loire-Atlantique","Ste-Luce-sur-Loire",,"Ste Luce",,,,"Sanguisorba officinalis L."
"Diard",72,"Rosaceae",4,545,"Poterium","dictyocarpum","06/05/1866","Spach","0545_DIARD",,2,"plante entière","complet","B",49,"Maine-et-Loire","Liré",,"Lyré",,,,"Poterium dictyocarpum Spach"
"Diard",72,"Rosaceae",4,546,"Poterium","muricatum","14/05/1865","Spach","0546_DIARD",,2,"partie aérienne","complet","B",44,"Loire-Atlantique","Nantes",,"Route de Rennes",,,,"Poterium muricatum Spach"
"Diard",72,"Rosaceae",5,547,"Agrimonia","aupatoria","09/07/1865","L.","0547_DIARD_1 ; 0547_DIARD_2",,2,"tige + inflorescence","complet","B",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,,,"Agrimonia aupatoria L."
"Diard",72,"Rosaceae",7,550,"Aphanes","arvensis","17/06/1866","L.","0550_DIARD",,3,"plante entière","complet","B",44,"Loire-Atlantique","Nantes","Pont du Cens","Pont du Cens",,"Alchemilla arvensis",,"Aphanes arvensis L."
"Diard",72,"Rosaceae",8,552,"Geum","urbanum","14/05/1865","L.","0552_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Nantes","Pont du Cens","Pont du Cens",,,,"Geum urbanum L."
"Diard",72,"Rosaceae",9,553,"Potentilla","anserina","24/05/1868","L.","0553_DIARD",,2,"plante entière + inflorescence","complet","TB",49,"Maine-et-Loire","Liré",,"Lyré",,,,"Potentilla anserina L."
"Diard",72,"Rosaceae",9,554,"Potentilla","supina","19/06/1873","L.","0554_DIARD",,2,"plante entière + inflorescence + infrutescence","complet","TB",79,"Deux-Sèvres","St-Sauveur","Etang de la Madoire","Etang de la Madoire (Deux Sèvres)",,"Mr Lloyd","couleurs très bien préservées","Potentilla supina L."
"Diard",72,"Rosaceae",9,555,"Potentilla","argentea","23/07/1865","L.","0555_(1)_DIARD",,7,"tige + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Ancenis",,"Ancenis",,,,"Potentilla argentea L."
"Diard",72,"Rosaceae",9,555,"Potentilla","argentea","05/05/1870","L.","0555_(2)_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Mauves-sur-Loire",,"Mauves",,,,"Potentilla argentea L."
"Diard",72,"Rosaceae",9,556,"Potentilla","reptans","14/05/1871","L.","0556_DIARD",,2,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","Mauves-sur-Loire",,"Mauves",,,,"Potentilla reptans L."
"Diard",72,"Rosaceae",9,557,"Potentilla","tabernæmontani","02/05/1869","Aschers.","0557_DIARD",,1,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","Ancenis",,"Environs d'Ancenis",,,,"Potentilla tabernæmontani Aschers."
"Diard",72,"Rosaceae",9,558,"Potentilla","recta","03/07/1873","L.","0558_DIARD",,2,"plante entière + inflorescence","complet","B",75,"Ile de France","Paris","Bois de Boulogne","Bois de Boulogne",,,,"Potentilla recta L."
"Figureau",72,"Rosaceae",9,558,"Potentilla","recta",25/10/1978,"L.","0558_FIGUREAU",,2,"plante entière + inflorescence","complet","TB",49,"Maine-et-Loire","Montjeau-dur-Loire","Chateaupanne","Chateaupanne (Montjean 49)","Pentes herbeuses arides calcaires",,"couleurs excellentes !","Potentilla recta L."
"Diard",72,"Rosaceae",9,559,"Potentilla","erecta","05/08/1869","(L.) Räusch.","0559_DIARD",,2,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Sucé-sur-Erdre","Logné","Marais de Loigné",,"Tormentilla erecta",,"Potentilla erecta (L.) Räusch."
"Diard",72,"Rosaceae",9,560,"Potentilla","erecta","03/08/1870",,"0560_DIARD_1 ; 0560_DIARD_2",,3,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Sucé-sur-Erdre","Logné","Marais de Loigné",,"Tormentilla  reptans","les spécimens sont distribués sur 2 feuillets","Potentilla anglicaLaich."
"Diard",72,"Rosaceae",9,561,"Potentilla","sterilis","13/04/1868","(L.) Garcke","0561_DIARD",,2,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Mauves-sur-Loire",,"Mauves",,"Potentilla fragariastrum",,"Potentilla sterilis (L.) Garcke"
"Diard",72,"Rosaceae",9,562,"Potentilla","montana","08/05/1870","Brot.","0562_(1)_DIARD",,4,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Sautron",,"Sautron",,,,"Potentilla montana Brot."
"Diard",72,"Rosaceae",9,562,"Potentilla","montana","10/04/1874","Brot.","0562_(2)_DIARD",,1,"plante entière + inflorescence","complet","TB",44,"Loire-Atlantique","St Brevin",,"Environs de St Brevin",,,,"Potentilla montana Brot."
