"Collecteur","N°Famille","Famille","N°Genre","N°Espèce","Genre","Espèce","date récolte","Auteur","N° scan","Subsp.","Nb spécimens","Partie conservée","Intégrité","Etat","Dpt","Nom Dpt","Commune","Lieu dit","Lieu récolte","Habitat","remarques","remarques perso","Nom latin"
"Diard",7,"Dryopteridaceae",5,26,"Dryopteris","filix-mas","31/05/1870","(L.) Schott","0026_DIARD",,1,"plante entière","incomplet","B",44,"Loire-Atlantique","La-Chapelle-Heulin","Les Cléons","Les Cléons",,"Polystichum filis mas",,"Dryopteris filix-mas (L.) Schott"
"Diard",7,"Dryopteridaceae",5,"27bis","Dryopteris","dilatata","06/06/1870","(Hoffm.) A. Gray","0027_bis_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Carquefou","La Seilleraye","près de la Seilleraie",,"Polystichum spinulosum",,"Dryopteris dilatata (Hoffm.) A. Gray"
"Diard",7,"Thelypteridaceae",6,31,"Thelypteris","palustris","13/06/1868","Schott","0031_DIARD",,3,"plante entière + feuille","incomplet","B",44,"Loire-Atlantique","La-Chapelle-Heulin","Les Cléons","Les Cléons",,"Polystichum thelypteris","l'un des spécimens est en 2 parties","Thelypteris palustris Schott"
"Diard",7,"Woodsiaceae",7,33,"Cystopteris","fragilis","08/1869","(L.) Bernh.","0033_DIARD",,4,"plante entière","complet","B",44,"Loire-Atlantique","Nantes",,"Nantes",,,,"Cystopteris fragilis (L.) Bernh."
"Diard",7,"Dryopteridaceae",8,34,"Athyrium","filix-femina","06/08/1871","(L.) Roth","0034_DIARD",,2,"feuilles","incomplet","M",44,"Loire-Atlantique","Orvault",,"Orvault",,"Asplenium filix femina Bernh.","spécimens quelque peu fragmentés : présence de larves d'anthrènes vivantes !","Athyrium filix-femina (L.) Roth"
"Diard",7,"Blechnaceae",9,35,"Blechnum","spicant","06/06/1870","(L.) Roth","0035_(1)_DIARD",,1,"plante entière sans spore","complet","B",44,"Loire-Atlantique","Carquefou","La Seilleraye","La Seilleraie",,,,"Blechnum spicant (L.) Roth"
"Diard",7,"Blechnaceae",9,35,"Blechnum","spicant","30/08/1871","(L.) Roth","0035_(2)_DIARD",,1,"partie stérile","incomplet","B",44,"Loire-Atlantique","La Chapelle-sur-Erdre",,"La Verrière",,,,"Blechnum spicant (L.) Roth"
"Diard",7,"Aspleniaceae",10,36,"Asplenium","septentrionale","s.d.","(L.) Hoffm.","0036_DIARD",,1,"plante entière","incomplet","B",,,,,,,"Mr Renou","1 feuille est isolée du spécimen","Asplenium septentrionale (L.) Hoffm."
"Diard",7,"Aspleniaceae",10,37,"Asplenium","trichomanes","07/05/1868","L.","0037_DIARD",,1,"plante entière","incomplet","B",44,"Loire-Atlantique","Nantes","La Morinière","La Morinière",,,"2 feuilles sont isolées du spécimen","Asplenium trichomanes L."
"Diard",7,"Aspleniaceae",10,38,"Asplenium","marinum","26/06/1871","L.","0038_(1)__DIARD",,5,"plante entière + feuille + infrutescence","complet","TB",44,"Loire-Atlantique","Pornic","La Girardière","près du village de la Gerardière entre Pornic et la plaine",,,,"Asplenium marinum L."
